Source,Target,Type
Fumarate_e,rx_1,Directed
CiscAconitate_c,rx_2,Directed
HhO_HhO_c,rx_2,Directed
rx_2,Isocitrate_c,Directed
Dihydroxyacetone_phosphate_c,rx_3,Directed
rx_3,Glyceraldehyde_hcphosphate_c,Directed
Coenzyme_A_c,rx_4,Directed
Succinate_c,rx_4,Directed
ATP_ChhHhhNhOhhPh_c,rx_4,Directed
rx_4,SuccinylcCoA_c,Directed
rx_4,ADP_ChhHhhNhOhhPh_c,Directed
rx_4,Phosphate_c,Directed
LcGlutamate_c,rx_5,Directed
Ammonium_c,rx_5,Directed
ATP_ChhHhhNhOhhPh_c,rx_5,Directed
rx_5,ADP_ChhHhhNhOhhPh_c,Directed
rx_5,Phosphate_c,Directed
rx_5,LcGlutamine_c,Directed
rx_5,Hf_c,Directed
Phosphate_e,rx_6,Directed
Phosphoenolpyruvate_c,rx_7,Directed
HhO_HhO_c,rx_7,Directed
COh_COh_c_source,rx_7,Directed
rx_7,Oxaloacetate_c,Directed
rx_7,Phosphate_c,Directed
rx_7,Hf_c,Directed
Nicotinamide_adenine_dinucleotide_phosphate_c,rx_8,Directed
DcGlucose_hcphosphate_c,rx_8,Directed
rx_8,Nicotinamide_adenine_dinucleotide_phosphate_c_reduced_c,Directed
rx_8,_hcphosphocDcgluconochghclactone_c,Directed
rx_8,Hf_c,Directed
Sedoheptulose_hcphosphate_c,rx_9,Directed
Glyceraldehyde_hcphosphate_c,rx_9,Directed
rx_9,DcErythrose_hcphosphate_c,Directed
rx_9,DcFructose_hcphosphate_c,Directed
Oxaloacetate_c,rx_10,Directed
ATP_ChhHhhNhOhhPh_c,rx_10,Directed
rx_10,ADP_ChhHhhNhOhhPh_c,Directed
rx_10,Phosphoenolpyruvate_c,Directed
rx_10,COh_COh_c_sink,Directed
DcLactate_e,rx_11,Directed
_hcphosphocDcgluconochghclactone_c,rx_12,Directed
HhO_HhO_c,rx_12,Directed
rx_12,_hcPhosphocDcgluconate_c,Directed
rx_12,Hf_c,Directed
HhO_HhO_e,rx_13,Directed
rx_13,HhO_HhO_c,Directed
HhO_HhO_c,rx_14,Directed
LcGlutamine_e,rx_14,Directed
ATP_ChhHhhNhOhhPh_c,rx_14,Directed
rx_14,ADP_ChhHhhNhOhhPh_c,Directed
rx_14,Phosphate_c,Directed
rx_14,LcGlutamine_c,Directed
rx_14,Hf_c,Directed
COh_COh_e,rx_15,Directed
LcGlutamine_e,rx_16,Directed
Ammonium_e,rx_17,Directed
LcMalate_e,rx_18,Directed
Hf_e,rx_18,Directed
rx_18,LcMalate_c,Directed
rx_18,Hf_c,Directed
LcMalate_c,rx_19,Directed
Nicotinamide_adenine_dinucleotide_phosphate_c,rx_19,Directed
rx_19,Pyruvate_c,Directed
rx_19,Nicotinamide_adenine_dinucleotide_phosphate_c_reduced_c,Directed
rx_19,COh_COh_c_sink,Directed
Phosphate_c,rx_20,Directed
Nicotinamide_adenine_dinucleotide_c,rx_20,Directed
Glyceraldehyde_hcphosphate_c,rx_20,Directed
rx_20,Nicotinamide_adenine_dinucleotide_c_reduced_c,Directed
rx_20,_hcPhosphocDcglyceroyl_phosphate_c,Directed
rx_20,Hf_c,Directed
_hcOxoglutarate_e,rx_21,Directed
Oxaloacetate_c,rx_22,Directed
HhO_HhO_c,rx_22,Directed
AcetylcCoA_c,rx_22,Directed
rx_22,Coenzyme_A_c,Directed
rx_22,Hf_c,Directed
rx_22,Citrate_c,Directed
Ethanol_e,rx_23,Directed
Hf_e,rx_23,Directed
rx_23,Ethanol_c,Directed
rx_23,Hf_c,Directed
Acetate_c,rx_24,Directed
ATP_ChhHhhNhOhhPh_c,rx_24,Directed
rx_24,ADP_ChhHhhNhOhhPh_c,Directed
rx_24,Acetyl_phosphate_c,Directed
_hcPhosphocDcglycerate_c,rx_25,Directed
ATP_ChhHhhNhOhhPh_c,rx_25,Directed
rx_25,ADP_ChhHhhNhOhhPh_c,Directed
rx_25,_hcPhosphocDcglyceroyl_phosphate_c,Directed
Pyruvate_e,rx_26,Directed
Hf_e,rx_27,Directed
Succinate_e,rx_27,Directed
rx_27,Succinate_c,Directed
rx_27,Hf_c,Directed
DcLactate_e,rx_28,Directed
Hf_e,rx_28,Directed
rx_28,Hf_c,Directed
rx_28,DcLactate_c,Directed
Formate_e,rx_29,Directed
Hf_e,rx_29,Directed
rx_29,Hf_c,Directed
rx_29,Formate_c,Directed
LcGlutamate_c,rx_30,Directed
Nicotinamide_adenine_dinucleotide_phosphate_c,rx_30,Directed
HhO_HhO_c,rx_30,Directed
rx_30,Nicotinamide_adenine_dinucleotide_phosphate_c_reduced_c,Directed
rx_30,_hcOxoglutarate_c,Directed
rx_30,Ammonium_c,Directed
rx_30,Hf_c,Directed
HhO_HhO_c,rx_31,Directed
ATP_ChhHhhNhOhhPh_c,rx_31,Directed
rx_31,ADP_ChhHhhNhOhhPh_c,Directed
rx_31,Phosphate_c,Directed
rx_31,Hf_c,Directed
Fumarate_c,rx_32,Directed
Ubiquinolch_c,rx_32,Directed
rx_32,Ubiquinonech_c,Directed
rx_32,Succinate_c,Directed
LcMalate_e,rx_33,Directed
Coenzyme_A_c,rx_34,Directed
Pyruvate_c,rx_34,Directed
Nicotinamide_adenine_dinucleotide_c,rx_34,Directed
rx_34,Nicotinamide_adenine_dinucleotide_c_reduced_c,Directed
rx_34,AcetylcCoA_c,Directed
rx_34,COh_COh_c_sink,Directed
ADP_ChhHhhNhOhhPh_c,rx_35,Directed
Phosphoenolpyruvate_c,rx_35,Directed
Hf_c,rx_35,Directed
rx_35,Pyruvate_c,Directed
rx_35,ATP_ChhHhhNhOhhPh_c,Directed
DcGlycerate_hcphosphate_c,rx_36,Directed
rx_36,Phosphoenolpyruvate_c,Directed
rx_36,HhO_HhO_c,Directed
Coenzyme_A_c,rx_37,Directed
_hcOxoglutarate_c,rx_37,Directed
Nicotinamide_adenine_dinucleotide_c,rx_37,Directed
rx_37,SuccinylcCoA_c,Directed
rx_37,Nicotinamide_adenine_dinucleotide_c_reduced_c,Directed
rx_37,COh_COh_c_sink,Directed
Isocitrate_c,rx_38,Directed
rx_38,Glyoxylate_c,Directed
rx_38,Succinate_c,Directed
Pyruvate_c,rx_39,Directed
HhO_HhO_c,rx_39,Directed
ATP_ChhHhhNhOhhPh_c,rx_39,Directed
rx_39,Phosphoenolpyruvate_c,Directed
rx_39,Phosphate_c,Directed
rx_39,Hf_c,Directed
rx_39,AMP_ChhHhhNhOhP_c,Directed
Acetaldehyde_e,rx_40,Directed
rx_40,Acetaldehyde_c,Directed
HhO_HhO_c,rx_41,Directed
DcFructose_hghcbisphosphate_c,rx_41,Directed
rx_41,Phosphate_c,Directed
rx_41,DcFructose_hcphosphate_c,Directed
DcFructose_hghcbisphosphate_c,rx_42,Directed
rx_42,Dihydroxyacetone_phosphate_c,Directed
rx_42,Glyceraldehyde_hcphosphate_c,Directed
Nicotinamide_adenine_dinucleotide_c,rx_43,Directed
DcLactate_c,rx_43,Directed
rx_43,Nicotinamide_adenine_dinucleotide_c_reduced_c,Directed
rx_43,Pyruvate_c,Directed
rx_43,Hf_c,Directed
AlphacDcRibose_hcphosphate_c,rx_44,Directed
DcXylulose_hcphosphate_c,rx_44,Directed
rx_44,Sedoheptulose_hcphosphate_c,Directed
rx_44,Glyceraldehyde_hcphosphate_c,Directed
DcFructose_e,rx_45,Directed
LcGlutamate_e,rx_46,Directed
Coenzyme_A_c,rx_47,Directed
Pyruvate_c,rx_47,Directed
rx_47,AcetylcCoA_c,Directed
rx_47,Formate_c,Directed
ATP_ChhHhhNhOhhPh_c,rx_48,Directed
DcFructose_hcphosphate_c,rx_48,Directed
rx_48,ADP_ChhHhhNhOhhPh_c,Directed
rx_48,Hf_c,Directed
rx_48,DcFructose_hghcbisphosphate_c,Directed
Acetate_e,rx_49,Directed
AMP_ChhHhhNhOhP_c,rx_50,Directed
ATP_ChhHhhNhOhhPh_c,rx_50,Directed
rx_50,ADP_ChhHhhNhOhhPh_c,Directed
DcRibulose_hcphosphate_c,rx_51,Directed
rx_51,DcXylulose_hcphosphate_c,Directed
Hf_e,rx_52,Directed
Ammonium_e,rx_53,Directed
rx_53,Ammonium_c,Directed
Phosphoenolpyruvate_c,rx_54,Directed
DcGlucose_e,rx_54,Directed
rx_54,Pyruvate_c,Directed
rx_54,DcGlucose_hcphosphate_c,Directed
ADP_ChhHhhNhOhhPh_c,rx_55,Directed
Phosphate_c,rx_55,Directed
Hf_e,rx_55,Directed
rx_55,HhO_HhO_c,Directed
rx_55,Hf_c,Directed
rx_55,ATP_ChhHhhNhOhhPh_c,Directed
Fumarate_e,rx_56,Directed
Hf_e,rx_56,Directed
rx_56,Fumarate_c,Directed
rx_56,Hf_c,Directed
Formate_e,rx_57,Directed
rx_57,Formate_c,Directed
Nicotinamide_adenine_dinucleotide_phosphate_c,rx_58,Directed
_hcPhosphocDcgluconate_c,rx_58,Directed
rx_58,Nicotinamide_adenine_dinucleotide_phosphate_c_reduced_c,Directed
rx_58,DcRibulose_hcphosphate_c,Directed
rx_58,COh_COh_c_sink,Directed
Ubiquinonech_c,rx_59,Directed
Succinate_c,rx_59,Directed
rx_59,Fumarate_c,Directed
rx_59,Ubiquinolch_c,Directed
Succinate_e,rx_60,Directed
LcGlutamate_e,rx_61,Directed
Hf_e,rx_61,Directed
rx_61,LcGlutamate_c,Directed
rx_61,Hf_c,Directed
Glyoxylate_c,rx_62,Directed
HhO_HhO_c,rx_62,Directed
AcetylcCoA_c,rx_62,Directed
rx_62,Coenzyme_A_c,Directed
rx_62,LcMalate_c,Directed
rx_62,Hf_c,Directed
Nicotinamide_adenine_dinucleotide_phosphate_c_reduced_c,rx_63,Directed
Nicotinamide_adenine_dinucleotide_c,rx_63,Directed
rx_63,Nicotinamide_adenine_dinucleotide_c_reduced_c,Directed
rx_63,Nicotinamide_adenine_dinucleotide_phosphate_c,Directed
Acetaldehyde_e,rx_64,Directed
Formate_e,rx_65,Directed
Nicotinamide_adenine_dinucleotide_c_reduced_c,rx_66,Directed
Ubiquinonech_c,rx_66,Directed
Hf_c,rx_66,Directed
rx_66,Nicotinamide_adenine_dinucleotide_c,Directed
rx_66,Ubiquinolch_c,Directed
rx_66,Hf_e,Directed
Phosphate_c,rx_67,Directed
AcetylcCoA_c,rx_67,Directed
rx_67,Coenzyme_A_c,Directed
rx_67,Acetyl_phosphate_c,Directed
DcGlycerate_hcphosphate_c,rx_68,Directed
rx_68,_hcPhosphocDcglycerate_c,Directed
Ethanol_e,rx_69,Directed
DcErythrose_hcphosphate_c,rx_70,Directed
DcXylulose_hcphosphate_c,rx_70,Directed
rx_70,Glyceraldehyde_hcphosphate_c,Directed
rx_70,DcFructose_hcphosphate_c,Directed
Coenzyme_A_c,rx_71,Directed
Nicotinamide_adenine_dinucleotide_c,rx_71,Directed
Acetaldehyde_c,rx_71,Directed
rx_71,Nicotinamide_adenine_dinucleotide_c_reduced_c,Directed
rx_71,AcetylcCoA_c,Directed
rx_71,Hf_c,Directed
AlphacDcRibose_hcphosphate_c,rx_72,Directed
rx_72,DcRibulose_hcphosphate_c,Directed
DcGlucose_e,rx_73,Directed
Fumarate_c,rx_74,Directed
HhO_HhO_c,rx_74,Directed
rx_74,LcMalate_c,Directed
DcGlucose_hcphosphate_c,rx_75,Directed
rx_75,DcFructose_hcphosphate_c,Directed
Nicotinamide_adenine_dinucleotide_c,rx_76,Directed
LcMalate_c,rx_76,Directed
rx_76,Oxaloacetate_c,Directed
rx_76,Nicotinamide_adenine_dinucleotide_c_reduced_c,Directed
rx_76,Hf_c,Directed
Nicotinamide_adenine_dinucleotide_phosphate_c,rx_77,Directed
Isocitrate_c,rx_77,Directed
rx_77,Nicotinamide_adenine_dinucleotide_phosphate_c_reduced_c,Directed
rx_77,_hcOxoglutarate_c,Directed
rx_77,COh_COh_c_sink,Directed
_hcOxoglutarate_e,rx_78,Directed
Hf_e,rx_78,Directed
rx_78,_hcOxoglutarate_c,Directed
rx_78,Hf_c,Directed
Acetate_e,rx_79,Directed
Hf_e,rx_79,Directed
rx_79,Acetate_c,Directed
rx_79,Hf_c,Directed
Hf_e,rx_80,Directed
Pyruvate_e,rx_80,Directed
rx_80,Pyruvate_c,Directed
rx_80,Hf_c,Directed
Succinate_c,rx_81,Directed
Hf_e,rx_81,Directed
rx_81,Hf_c,Directed
rx_81,Succinate_e,Directed
COh_COh_e,rx_82,Directed
rx_82,COh_COh_c_sink,Directed
Citrate_c,rx_83,Directed
rx_83,CiscAconitate_c,Directed
rx_83,HhO_HhO_c,Directed
Nicotinamide_adenine_dinucleotide_c_reduced_c,rx_84,Directed
Nicotinamide_adenine_dinucleotide_phosphate_c,rx_84,Directed
Hf_e,rx_84,Directed
rx_84,Nicotinamide_adenine_dinucleotide_phosphate_c_reduced_c,Directed
rx_84,Nicotinamide_adenine_dinucleotide_c,Directed
rx_84,Hf_c,Directed
HhO_HhO_e,rx_85,Directed
Nicotinamide_adenine_dinucleotide_phosphate_c_reduced_c,rx_86,Directed
_hcOxoglutarate_c,rx_86,Directed
LcGlutamine_c,rx_86,Directed
Hf_c,rx_86,Directed
rx_86,LcGlutamate_c,Directed
rx_86,Nicotinamide_adenine_dinucleotide_phosphate_c,Directed
Nicotinamide_adenine_dinucleotide_c,rx_87,Directed
LcMalate_c,rx_87,Directed
rx_87,Nicotinamide_adenine_dinucleotide_c_reduced_c,Directed
rx_87,Pyruvate_c,Directed
rx_87,COh_COh_c_sink,Directed
LcGlutamine_c,rx_88,Directed
HhO_HhO_c,rx_88,Directed
rx_88,LcGlutamate_c,Directed
rx_88,Ammonium_c,Directed
Oh_Oh_e,rx_89,Directed
Phosphoenolpyruvate_c,rx_90,Directed
DcFructose_e,rx_90,Directed
rx_90,Pyruvate_c,Directed
rx_90,DcFructose_hcphosphate_c,Directed
Ethanol_c,rx_91,Directed
Nicotinamide_adenine_dinucleotide_c,rx_91,Directed
rx_91,Nicotinamide_adenine_dinucleotide_c_reduced_c,Directed
rx_91,Hf_c,Directed
rx_91,Acetaldehyde_c,Directed
Hf_e,rx_92,Directed
Phosphate_e,rx_92,Directed
rx_92,Phosphate_c,Directed
rx_92,Hf_c,Directed
Ubiquinolch_c,rx_93,Directed
Hf_c,rx_94,Directed
rx_95,Ubiquinonech_c,Directed
rx_96,Hf_e,Directed
rx_97,HhO_HhO_c,Directed
Oxaloacetate_c,rx_98,Directed
Pyruvate_c,rx_99,Directed
_hcPhosphocDcglycerate_c,rx_100,Directed
Nicotinamide_adenine_dinucleotide_phosphate_c_reduced_c,rx_101,Directed
Phosphoenolpyruvate_c,rx_102,Directed
AlphacDcRibose_hcphosphate_c,rx_103,Directed
DcErythrose_hcphosphate_c,rx_104,Directed
Nicotinamide_adenine_dinucleotide_c,rx_105,Directed
LcGlutamine_c,rx_106,Directed
LcGlutamate_c,rx_107,Directed
DcGlucose_hcphosphate_c,rx_108,Directed
HhO_HhO_c,rx_109,Directed
AcetylcCoA_c,rx_110,Directed
Glyceraldehyde_hcphosphate_c,rx_111,Directed
ATP_ChhHhhNhOhhPh_c,rx_112,Directed
DcFructose_hcphosphate_c,rx_113,Directed
rx_114,Coenzyme_A_c,Directed
rx_115,Nicotinamide_adenine_dinucleotide_c_reduced_c,Directed
rx_116,ADP_ChhHhhNhOhhPh_c,Directed
rx_117,_hcOxoglutarate_c,Directed
rx_118,Phosphate_c,Directed
rx_119,Nicotinamide_adenine_dinucleotide_phosphate_c,Directed
rx_120,Hf_c,Directed
rx_121,Acetaldehyde_e,Directed
rx_122,DcGlycerate_hcphosphate_c,Directed
rx_123,_hcOxoglutarate_e,Directed
rx_124,Acetate_e,Directed
rx_125,DcLactate_e,Directed
rx_126,Formate_e,Directed
rx_127,LcMalate_e,Directed
rx_128,AlphacDcRibose_hcphosphate_c,Directed
rx_129,Ammonium_e,Directed
rx_130,LcGlutamate_e,Directed
rx_131,DcFructose_e,Directed
rx_132,Fumarate_e,Directed
rx_133,Ethanol_e,Directed
rx_134,Phosphate_e,Directed
rx_135,Pyruvate_e,Directed
rx_136,DcGlucose_e,Directed
rx_137,LcGlutamine_e,Directed
rx_138,HhO_HhO_e,Directed
rx_139,Oh_Oh_e,Directed
rx_140,COh_COh_e,Directed
SuccinylcCoA_c,rx_141,Directed
_hcPhosphocDcglyceroyl_phosphate_c,rx_142,Directed
Acetyl_phosphate_c,rx_143,Directed
Formate_c,rx_144,Directed
COh_COh_c_sink,rx_145,Directed
rx_146,COh_COh_c_source,Directed
