"(7, 14, 1, 37)","(1, 14)"
"(7, 10, 1, 34)","(52, 19)"
"(15, 23, 1, 59)","(38, 23)"
"(32, 6, 1, 37)","(8, 4)"
"(52, 21, 1, 22)","(7, 12)"
"(7, 16, 1, 37)","(1, 16)"
"(52, 5, 1, 67)","(7, 19)"
"(33, 1, 1, 88)","(34, 4)"
"(32, 17, 1, 76)","(8, 15)"
"(8, 18, 1, 84)","(17, 18)"
"(60, 1, 1, 3)","(64, 2)"
"(32, 10, 1, 63)","(43, 10)"
"(32, 11, 1, 43)","(8, 9)"
"(12, 3, 1, 74)","(35, 3)"
"(43, 19, 1, 58)","(17, 17)"
"(46, 2, 1, 75)","(71, 5)"
"(69, 4, 1, 10)","(19, 4)"
"(43, 13, 1, 77)","(17, 11)"
"(69, 2, 1, 25)","(19, 2)"
"(32, 9, 1, 87)","(8, 7)"
"(43, 9, 1, 84)","(32, 9)"
"(17, 11, 1, 86)","(43, 13)"
"(34, 5, 1, 5)","(33, 5)"
"(69, 9, 1, 14)","(19, 9)"
"(7, 21, 1, 34)","(52, 3)"
"(6, 3, 1, 68)","(13, 3)"
"(27, 5, 1, 9)","(71, 5)"
"(7, 19, 1, 4)","(1, 19)"
"(15, 14, 1, 59)","(38, 14)"
"(12, 2, 1, 74)","(35, 2)"
"(43, 1, 1, 77)","(17, 1)"
"(32, 21, 1, 63)","(43, 21)"
"(32, 15, 1, 37)","(8, 13)"
"(15, 16, 1, 59)","(38, 16)"
"(43, 3, 1, 84)","(32, 3)"
"(32, 3, 1, 87)","(8, 21)"
"(69, 3, 1, 14)","(19, 3)"
"(32, 20, 1, 87)","(8, 18)"
"(43, 20, 1, 84)","(32, 20)"
"(7, 19, 1, 47)","(52, 5)"
"(43, 8, 1, 58)","(17, 6)"
"(32, 14, 1, 34)","(8, 12)"
"(52, 13, 1, 67)","(7, 4)"
"(32, 16, 1, 34)","(8, 14)"
"(32, 4, 1, 43)","(8, 20)"
"(39, 1, 1, 90)","(71, 2)"
"(6, 2, 1, 68)","(13, 2)"
"(52, 17, 1, 62)","(7, 8)"
"(43, 6, 1, 77)","(17, 4)"
"(64, 1, 1, 9)","(31, 1)"
"(38, 45, 1, 32)","(15, 45)"
"(69, 8, 1, 39)","(67, 8)"
"(32, 2, 1, 87)","(8, 2)"
"(7, 8, 1, 4)","(1, 8)"
"(53, 3, 1, 54)","(46, 3)"
"(43, 2, 1, 84)","(32, 2)"
"(17, 4, 1, 86)","(43, 6)"
"(32, 17, 1, 20)","(8, 15)"
"(52, 1, 1, 67)","(58, 1)"
"(15, 29, 1, 66)","(38, 29)"
"(69, 2, 1, 14)","(19, 2)"
"(43, 7, 1, 58)","(17, 5)"
"(21, 3, 1, 90)","(10, 3)"
"(38, 39, 1, 32)","(15, 39)"
"(8, 9, 1, 84)","(17, 9)"
"(34, 4, 1, 30)","(20, 1)"
"(39, 6, 1, 90)","(71, 3)"
"(7, 8, 1, 47)","(52, 17)"
"(15, 31, 1, 66)","(38, 31)"
"(15, 44, 1, 66)","(38, 44)"
"(34, 1, 1, 5)","(33, 4)"
"(38, 5, 1, 32)","(15, 48)"
"(17, 17, 1, 63)","(8, 17)"
"(69, 10, 1, 50)","(19, 10)"
"(69, 7, 1, 39)","(67, 7)"
"(38, 43, 1, 32)","(15, 43)"
"(7, 7, 1, 4)","(1, 7)"
"(29, 3, 1, 61)","(34, 3)"
"(52, 6, 1, 67)","(7, 18)"
"(43, 12, 1, 8)","(17, 10)"
"(53, 2, 1, 54)","(46, 2)"
"(8, 3, 1, 84)","(17, 3)"
"(15, 19, 1, 66)","(38, 19)"
"(27, 1, 1, 9)","(71, 1)"
"(21, 2, 1, 90)","(10, 2)"
"(8, 20, 1, 84)","(17, 20)"
"(43, 15, 1, 77)","(17, 13)"
"(7, 7, 1, 47)","(52, 16)"
"(29, 2, 1, 61)","(34, 2)"
"(8, 2, 1, 84)","(17, 2)"
"(27, 6, 1, 9)","(31, 3)"
"(38, 49, 1, 32)","(15, 4)"
"(19, 5, 1, 35)","(69, 5)"
"(38, 33, 1, 32)","(15, 33)"
"(15, 8, 1, 66)","(38, 8)"
"(7, 10, 1, 37)","(1, 10)"
"(40, 1, 1, 56)","(12, 1)"
"(52, 15, 1, 67)","(7, 6)"
"(38, 13, 1, 32)","(15, 13)"
"(43, 18, 1, 8)","(17, 16)"
"(43, 12, 1, 30)","(17, 10)"
"(35, 3, 1, 87)","(48, 1)"
"(20, 4, 1, 86)","(34, 4)"
"(15, 25, 1, 66)","(38, 25)"
"(15, 7, 1, 66)","(38, 7)"
"(38, 1, 1, 32)","(15, 1)"
"(7, 21, 1, 37)","(1, 21)"
"(15, 47, 1, 59)","(38, 4)"
"(32, 17, 1, 71)","(8, 15)"
"(10, 3, 1, 39)","(21, 3)"
"(69, 8, 1, 24)","(19, 8)"
"(15, 10, 1, 59)","(38, 10)"
"(15, 36, 1, 66)","(38, 36)"
"(69, 8, 1, 4)","(19, 8)"
"(35, 2, 1, 87)","(10, 1)"
"(38, 6, 1, 32)","(15, 6)"
"(14, 1, 1, 79)","(2, 1)"
"(43, 17, 1, 19)","(17, 15)"
"(32, 14, 1, 37)","(8, 12)"
"(32, 10, 1, 34)","(8, 8)"
"(28, 4, 1, 59)","(12, 4)"
"(32, 16, 1, 37)","(8, 14)"
"(19, 1, 1, 35)","(69, 1)"
"(8, 19, 1, 66)","(32, 5)"
"(69, 8, 1, 5)","(19, 8)"
"(69, 7, 1, 24)","(19, 7)"
"(10, 2, 1, 39)","(21, 2)"
"(19, 10, 1, 55)","(69, 10)"
"(43, 18, 1, 30)","(17, 16)"
"(69, 7, 1, 4)","(19, 7)"
"(69, 8, 1, 31)","(19, 8)"
"(51, 4, 1, 58)","(18, 3)"
"(15, 21, 1, 59)","(38, 21)"
"(43, 5, 1, 58)","(17, 19)"
"(28, 1, 1, 81)","(68, 1)"
"(54, 5, 1, 14)","(33, 5)"
"(16, 3, 1, 28)","(62, 3)"
"(19, 6, 1, 35)","(69, 6)"
"(43, 9, 1, 8)","(17, 7)"
"(32, 21, 1, 34)","(8, 3)"
"(69, 7, 1, 5)","(19, 7)"
"(38, 15, 1, 32)","(15, 15)"
"(69, 5, 1, 39)","(67, 5)"
"(32, 12, 1, 91)","(8, 10)"
"(7, 5, 1, 4)","(1, 5)"
"(8, 8, 1, 66)","(32, 10)"
"(69, 7, 1, 31)","(19, 7)"
"(18, 3, 1, 51)","(36, 3)"
"(20, 3, 1, 37)","(1, 23)"
"(43, 3, 1, 8)","(17, 21)"
"(16, 2, 1, 28)","(62, 2)"
"(7, 5, 1, 47)","(52, 14)"
"(35, 4, 1, 19)","(10, 3)"
"(52, 23, 1, 67)","(7, 14)"
"(43, 20, 1, 8)","(17, 18)"
"(68, 4, 1, 27)","(28, 4)"
"(43, 14, 1, 77)","(17, 12)"
"(7, 11, 1, 71)","(52, 20)"
"(8, 7, 1, 66)","(32, 9)"
"(43, 16, 1, 77)","(17, 14)"
"(43, 13, 1, 58)","(17, 11)"
"(18, 2, 1, 51)","(36, 2)"
"(52, 12, 1, 22)","(7, 3)"
"(23, 4, 1, 2)","(66, 5)"
"(66, 4, 1, 77)","(48, 1)"
"(20, 2, 1, 37)","(1, 24)"
"(15, 45, 1, 66)","(38, 45)"
"(69, 4, 1, 48)","(19, 4)"
"(43, 2, 1, 8)","(17, 2)"
"(43, 9, 1, 30)","(17, 7)"
"(69, 8, 1, 10)","(19, 8)"
"(36, 5, 1, 44)","(64, 3)"
"(32, 19, 1, 43)","(8, 17)"
"(43, 1, 1, 58)","(17, 1)"
"(15, 39, 1, 66)","(38, 39)"
"(7, 13, 1, 4)","(1, 13)"
"(32, 18, 1, 91)","(8, 16)"
"(25, 5, 1, 44)","(27, 5)"
"(54, 1, 1, 14)","(33, 1)"
"(32, 11, 1, 76)","(8, 9)"
"(52, 14, 1, 67)","(7, 5)"
"(7, 12, 1, 34)","(52, 21)"
"(17, 19, 1, 86)","(43, 5)"
"(52, 16, 1, 67)","(7, 7)"
"(15, 5, 1, 66)","(38, 47)"
"(7, 13, 1, 47)","(52, 22)"
"(43, 3, 1, 30)","(17, 21)"
"(69, 1, 1, 39)","(67, 1)"
"(15, 43, 1, 66)","(38, 43)"
"(7, 1, 1, 4)","(1, 1)"
"(43, 17, 1, 84)","(32, 17)"
"(32, 17, 1, 87)","(8, 15)"
"(15, 34, 1, 59)","(38, 34)"
"(10, 3, 1, 47)","(70, 1)"
"(69, 7, 1, 10)","(19, 7)"
"(43, 6, 1, 58)","(17, 4)"
"(43, 20, 1, 30)","(17, 18)"
"(32, 12, 1, 63)","(43, 12)"
"(7, 4, 1, 71)","(52, 13)"
"(42, 2, 1, 23)","(3, 2)"
"(64, 1, 1, 20)","(37, 1)"
"(32, 8, 1, 43)","(8, 6)"
"(7, 1, 1, 47)","(52, 11)"
"(52, 18, 1, 22)","(7, 9)"
"(69, 6, 1, 39)","(67, 6)"
"(7, 6, 1, 4)","(1, 6)"
"(43, 2, 1, 30)","(17, 2)"
"(17, 8, 1, 86)","(43, 10)"
"(10, 2, 1, 47)","(52, 2)"
"(38, 41, 1, 32)","(15, 41)"
"(15, 49, 1, 66)","(38, 3)"
"(32, 10, 1, 37)","(8, 8)"
"(32, 4, 1, 76)","(8, 20)"
"(15, 33, 1, 66)","(38, 33)"
"(38, 23, 1, 32)","(15, 23)"
"(9, 2, 1, 62)","(35, 4)"
"(69, 5, 1, 24)","(19, 5)"
"(7, 6, 1, 47)","(52, 15)"
"(32, 7, 1, 43)","(8, 5)"
"(69, 5, 1, 4)","(19, 5)"
"(61, 3, 1, 42)","(60, 1)"
"(52, 11, 1, 62)","(7, 1)"
"(7, 18, 1, 34)","(52, 6)"
"(15, 13, 1, 66)","(38, 13)"
"(36, 1, 1, 44)","(27, 1)"
"(43, 15, 1, 58)","(17, 13)"
"(5, 1, 1, 10)","(48, 1)"
"(17, 7, 1, 86)","(43, 9)"
"(32, 11, 1, 20)","(8, 9)"
"(25, 1, 1, 44)","(27, 7)"
"(8, 17, 1, 84)","(17, 17)"
"(32, 9, 1, 91)","(8, 7)"
"(32, 18, 1, 63)","(43, 18)"
"(69, 5, 1, 5)","(19, 5)"
"(32, 21, 1, 37)","(8, 3)"
"(15, 1, 1, 66)","(38, 1)"
"(7, 15, 1, 4)","(1, 15)"
"(69, 5, 1, 31)","(19, 5)"
"(61, 2, 1, 42)","(64, 2)"
"(17, 11, 1, 63)","(8, 11)"
"(38, 14, 1, 32)","(15, 14)"
"(32, 3, 1, 91)","(8, 21)"
"(38, 16, 1, 32)","(15, 16)"
"(7, 15, 1, 47)","(52, 9)"
"(32, 20, 1, 91)","(8, 18)"
"(15, 6, 1, 66)","(38, 6)"
"(52, 9, 1, 22)","(7, 15)"
"(67, 4, 1, 50)","(19, 4)"
"(52, 4, 1, 62)","(7, 20)"
"(8, 5, 1, 66)","(32, 7)"
"(43, 10, 1, 77)","(17, 8)"
"(5, 1, 1, 22)","(59, 1)"
"(32, 4, 1, 20)","(8, 20)"
"(32, 2, 1, 91)","(8, 2)"
"(69, 1, 1, 24)","(19, 1)"
"(52, 22, 1, 62)","(7, 13)"
"(15, 26, 1, 59)","(38, 26)"
"(69, 1, 1, 4)","(19, 1)"
"(52, 3, 1, 22)","(7, 21)"
"(52, 20, 1, 22)","(7, 11)"
"(7, 9, 1, 34)","(52, 18)"
"(25, 3, 1, 72)","(18, 2)"
"(17, 4, 1, 63)","(8, 4)"
"(62, 3, 1, 43)","(10, 3)"
"(43, 21, 1, 77)","(17, 3)"
"(52, 10, 1, 67)","(7, 2)"
"(59, 3, 1, 83)","(23, 3)"
"(69, 1, 1, 5)","(19, 1)"
"(69, 6, 1, 24)","(19, 6)"
"(7, 12, 1, 37)","(1, 12)"
"(32, 9, 1, 63)","(43, 9)"
"(15, 15, 1, 66)","(38, 15)"
"(33, 4, 1, 86)","(34, 1)"
"(69, 6, 1, 4)","(19, 6)"
"(52, 2, 1, 22)","(59, 5)"
"(7, 3, 1, 34)","(52, 12)"
"(69, 5, 1, 10)","(19, 5)"
"(69, 1, 1, 31)","(19, 1)"
"(7, 20, 1, 34)","(52, 4)"
"(8, 13, 1, 66)","(32, 15)"
"(25, 2, 1, 72)","(18, 4)"
"(35, 4, 1, 76)","(5, 4)"
"(13, 3, 1, 25)","(37, 3)"
"(32, 3, 1, 63)","(43, 3)"
"(32, 11, 1, 71)","(8, 9)"
"(62, 2, 1, 43)","(10, 2)"
"(69, 6, 1, 5)","(19, 6)"
"(59, 2, 1, 83)","(23, 2)"
"(32, 20, 1, 63)","(43, 20)"
"(52, 21, 1, 67)","(7, 12)"
"(69, 6, 1, 31)","(19, 6)"
"(8, 1, 1, 66)","(32, 1)"
"(7, 2, 1, 34)","(52, 10)"
"(43, 11, 1, 19)","(17, 9)"
"(13, 2, 1, 25)","(37, 2)"
"(15, 12, 1, 59)","(38, 12)"
"(32, 5, 1, 43)","(8, 19)"
"(32, 2, 1, 63)","(43, 2)"
"(7, 18, 1, 37)","(1, 18)"
"(61, 3, 1, 41)","(71, 1)"
"(8, 6, 1, 66)","(32, 8)"
"(32, 12, 1, 34)","(8, 10)"
"(17, 5, 1, 86)","(43, 7)"
"(43, 14, 1, 58)","(17, 12)"
"(34, 5, 1, 30)","(20, 5)"
"(3, 2, 1, 91)","(65, 2)"
"(32, 4, 1, 71)","(8, 20)"
"(43, 17, 1, 8)","(17, 15)"
"(43, 16, 1, 58)","(17, 14)"
"(69, 1, 1, 10)","(19, 1)"
"(38, 47, 1, 32)","(15, 5)"
"(65, 2, 1, 71)","(52, 2)"
"(61, 2, 1, 41)","(71, 5)"
"(71, 4, 1, 48)","(61, 5)"
"(69, 9, 1, 50)","(19, 9)"
"(66, 4, 1, 38)","(28, 4)"
"(47, 4, 1, 12)","(51, 3)"
"(7, 14, 1, 4)","(1, 14)"
"(46, 3, 1, 8)","(47, 1)"
"(38, 10, 1, 32)","(15, 10)"
"(43, 4, 1, 19)","(17, 20)"
"(49, 3, 1, 80)","(10, 3)"
"(7, 16, 1, 4)","(1, 16)"
"(4, 2, 1, 40)","(65, 2)"
"(32, 13, 1, 43)","(8, 11)"
"(21, 3, 1, 54)","(10, 3)"
"(69, 8, 1, 48)","(19, 8)"
"(15, 37, 1, 59)","(38, 37)"
"(15, 18, 1, 59)","(38, 18)"
"(7, 19, 1, 71)","(52, 5)"
"(69, 6, 1, 10)","(19, 6)"
"(7, 14, 1, 47)","(52, 23)"
"(8, 15, 1, 66)","(32, 17)"
"(15, 41, 1, 66)","(38, 41)"
"(7, 16, 1, 47)","(52, 8)"
"(69, 3, 1, 50)","(19, 3)"
"(17, 13, 1, 86)","(43, 15)"
"(15, 23, 1, 66)","(38, 23)"
"(32, 18, 1, 34)","(8, 16)"
"(46, 2, 1, 8)","(47, 2)"
"(32, 1, 1, 43)","(8, 1)"
"(49, 2, 1, 80)","(10, 2)"
"(38, 21, 1, 32)","(15, 21)"
"(69, 7, 1, 48)","(19, 7)"
"(21, 2, 1, 54)","(10, 2)"
"(19, 10, 1, 35)","(69, 10)"
"(43, 17, 1, 30)","(17, 15)"
"(7, 9, 1, 37)","(1, 9)"
"(32, 19, 1, 76)","(8, 17)"
"(12, 3, 1, 32)","(28, 3)"
"(17, 1, 1, 86)","(43, 1)"
"(7, 8, 1, 71)","(52, 17)"
"(69, 2, 1, 50)","(19, 2)"
"(34, 1, 1, 30)","(20, 4)"
"(48, 1, 1, 7)","(5, 1)"
"(32, 6, 1, 43)","(8, 4)"
"(15, 35, 1, 59)","(38, 35)"
"(20, 5, 1, 86)","(34, 5)"
"(46, 4, 1, 75)","(71, 1)"
"(7, 3, 1, 37)","(1, 3)"
"(36, 3, 1, 70)","(71, 3)"
"(15, 14, 1, 66)","(38, 14)"
"(69, 4, 1, 25)","(19, 4)"
"(17, 6, 1, 86)","(43, 8)"
"(43, 11, 1, 84)","(32, 11)"
"(32, 11, 1, 87)","(8, 9)"
"(7, 20, 1, 37)","(1, 20)"
"(12, 2, 1, 32)","(28, 2)"
"(15, 16, 1, 66)","(38, 16)"
"(7, 7, 1, 71)","(52, 16)"
"(32, 8, 1, 76)","(8, 6)"
"(12, 4, 1, 74)","(35, 4)"
"(15, 9, 1, 59)","(38, 9)"
"(7, 2, 1, 37)","(1, 2)"
"(36, 2, 1, 70)","(71, 2)"
"(31, 3, 1, 70)","(71, 5)"
"(32, 15, 1, 43)","(8, 13)"
"(32, 9, 1, 34)","(8, 7)"
"(52, 19, 1, 62)","(7, 10)"
"(11, 3, 1, 78)","(20, 3)"
"(32, 7, 1, 76)","(8, 5)"
"(6, 3, 1, 36)","(21, 1)"
"(28, 3, 1, 4)","(1, 24)"
"(15, 3, 1, 59)","(38, 48)"
"(32, 19, 1, 20)","(8, 17)"
"(19, 9, 1, 55)","(69, 9)"
"(17, 15, 1, 86)","(43, 17)"
"(32, 12, 1, 37)","(8, 10)"
"(51, 5, 1, 58)","(18, 4)"
"(15, 20, 1, 59)","(38, 20)"
"(32, 4, 1, 87)","(8, 20)"
"(43, 4, 1, 84)","(32, 4)"
"(69, 4, 1, 14)","(19, 4)"
"(32, 3, 1, 34)","(8, 21)"
"(32, 17, 1, 91)","(8, 15)"
"(31, 2, 1, 70)","(64, 2)"
"(43, 10, 1, 58)","(17, 8)"
"(8, 11, 1, 84)","(17, 11)"
"(38, 34, 1, 32)","(15, 34)"
"(32, 20, 1, 34)","(8, 18)"
"(11, 2, 1, 78)","(20, 2)"
"(20, 1, 1, 86)","(34, 4)"
"(17, 19, 1, 63)","(8, 19)"
"(6, 2, 1, 36)","(21, 2)"
"(19, 3, 1, 55)","(69, 3)"
"(28, 2, 1, 4)","(1, 23)"
"(15, 27, 1, 59)","(38, 27)"
"(15, 2, 1, 59)","(38, 2)"
"(67, 8, 1, 50)","(19, 8)"
"(52, 8, 1, 62)","(7, 16)"
"(69, 10, 1, 39)","(67, 10)"
"(7, 10, 1, 4)","(1, 10)"
"(53, 4, 1, 54)","(46, 4)"
"(32, 8, 1, 20)","(8, 6)"
"(32, 2, 1, 34)","(8, 2)"
"(52, 17, 1, 22)","(7, 8)"
"(43, 21, 1, 58)","(17, 3)"
"(7, 10, 1, 47)","(52, 19)"
"(19, 2, 1, 55)","(69, 2)"
"(67, 7, 1, 50)","(19, 7)"
"(52, 7, 1, 62)","(7, 17)"
"(17, 8, 1, 63)","(8, 8)"
"(8, 14, 1, 66)","(32, 16)"
"(32, 18, 1, 37)","(8, 16)"
"(28, 1, 1, 59)","(12, 1)"
"(23, 5, 1, 2)","(66, 6)"
"(29, 4, 1, 61)","(34, 4)"
"(66, 5, 1, 77)","(20, 4)"
"(32, 7, 1, 20)","(8, 5)"
"(8, 16, 1, 66)","(32, 18)"
"(8, 4, 1, 84)","(17, 4)"
"(7, 21, 1, 4)","(1, 21)"
"(69, 5, 1, 48)","(19, 5)"
"(43, 12, 1, 77)","(17, 10)"
"(7, 17, 1, 34)","(52, 7)"
"(51, 1, 1, 58)","(48, 1)"
"(10, 1, 1, 34)","(52, 1)"
"(7, 21, 1, 47)","(52, 3)"
"(17, 7, 1, 63)","(8, 7)"
"(32, 17, 1, 63)","(43, 17)"
"(15, 47, 1, 66)","(38, 4)"
"(15, 40, 1, 59)","(38, 40)"
"(51, 6, 1, 58)","(18, 5)"
"(15, 10, 1, 66)","(38, 10)"
"(7, 5, 1, 71)","(52, 14)"
"(32, 19, 1, 71)","(8, 17)"
"(52, 12, 1, 67)","(7, 3)"
"(35, 1, 1, 19)","(48, 1)"
"(43, 19, 1, 19)","(17, 17)"
"(35, 4, 1, 87)","(10, 3)"
"(68, 1, 1, 27)","(28, 1)"
"(43, 18, 1, 77)","(17, 16)"
"(38, 26, 1, 32)","(15, 26)"
"(23, 1, 1, 2)","(66, 1)"
"(66, 1, 1, 77)","(20, 1)"
"(15, 21, 1, 66)","(38, 21)"
"(32, 9, 1, 37)","(8, 7)"
"(32, 5, 1, 76)","(8, 19)"
"(69, 1, 1, 48)","(19, 1)"
"(32, 8, 1, 71)","(8, 6)"
"(32, 14, 1, 43)","(8, 12)"
"(24, 3, 1, 18)","(35, 3)"
"(69, 10, 1, 24)","(19, 10)"
"(32, 16, 1, 43)","(8, 14)"
"(69, 10, 1, 4)","(19, 10)"
"(21, 1, 1, 7)","(5, 2)"
"(7, 13, 1, 71)","(52, 22)"
"(32, 3, 1, 37)","(8, 21)"
"(17, 14, 1, 86)","(43, 16)"
"(23, 6, 1, 2)","(66, 4)"
"(43, 8, 1, 19)","(17, 6)"
"(66, 6, 1, 77)","(20, 5)"
"(52, 18, 1, 67)","(7, 9)"
"(2, 2, 1, 24)","(58, 2)"
"(21, 3, 1, 35)","(10, 3)"
"(17, 16, 1, 86)","(43, 18)"
"(32, 20, 1, 37)","(8, 18)"
"(69, 6, 1, 48)","(19, 6)"
"(43, 11, 1, 8)","(17, 9)"
"(32, 7, 1, 71)","(8, 5)"
"(69, 10, 1, 5)","(19, 10)"
"(24, 2, 1, 18)","(35, 2)"
"(7, 1, 1, 71)","(52, 11)"
"(69, 10, 1, 31)","(19, 10)"
"(43, 7, 1, 19)","(17, 5)"
"(32, 2, 1, 37)","(8, 2)"
"(32, 13, 1, 76)","(8, 11)"
"(33, 3, 1, 88)","(34, 2)"
"(60, 3, 1, 3)","(64, 3)"
"(21, 2, 1, 35)","(10, 2)"
"(67, 5, 1, 50)","(19, 5)"
"(52, 5, 1, 62)","(7, 19)"
"(15, 46, 1, 59)","(38, 46)"
"(38, 12, 1, 32)","(15, 12)"
"(7, 6, 1, 71)","(52, 15)"
"(43, 9, 1, 77)","(17, 7)"
"(8, 10, 1, 66)","(32, 12)"
"(32, 5, 1, 20)","(8, 19)"
"(32, 1, 1, 76)","(8, 1)"
"(18, 4, 1, 51)","(36, 4)"
"(20, 4, 1, 37)","(1, 22)"
"(15, 48, 1, 59)","(38, 5)"
"(33, 2, 1, 88)","(34, 3)"
"(43, 4, 1, 8)","(17, 20)"
"(60, 2, 1, 3)","(64, 1)"
"(7, 17, 1, 37)","(1, 17)"
"(43, 11, 1, 30)","(17, 9)"
"(43, 3, 1, 77)","(17, 21)"
"(69, 8, 1, 25)","(19, 8)"
"(17, 5, 1, 63)","(8, 5)"
"(15, 34, 1, 66)","(38, 34)"
"(43, 20, 1, 77)","(17, 18)"
"(32, 6, 1, 76)","(8, 4)"
"(52, 9, 1, 67)","(7, 15)"
"(33, 5, 1, 86)","(34, 5)"
"(8, 21, 1, 66)","(32, 3)"
"(32, 19, 1, 87)","(8, 17)"
"(43, 19, 1, 84)","(32, 19)"
"(39, 3, 1, 90)","(71, 6)"
"(52, 13, 1, 62)","(7, 4)"
"(7, 15, 1, 71)","(52, 9)"
"(64, 3, 1, 9)","(71, 6)"
"(69, 10, 1, 10)","(19, 10)"
"(69, 7, 1, 25)","(19, 7)"
"(38, 37, 1, 32)","(15, 37)"
"(43, 2, 1, 77)","(17, 2)"
"(38, 18, 1, 32)","(15, 18)"
"(32, 13, 1, 20)","(8, 11)"
"(52, 3, 1, 67)","(7, 21)"
"(52, 20, 1, 67)","(7, 11)"
"(67, 1, 1, 50)","(19, 1)"
"(15, 17, 1, 59)","(38, 17)"
"(52, 1, 1, 62)","(35, 2)"
"(39, 2, 1, 90)","(71, 1)"
"(43, 4, 1, 30)","(17, 20)"
"(32, 8, 1, 87)","(8, 6)"
"(43, 8, 1, 84)","(32, 8)"
"(32, 1, 1, 20)","(8, 1)"
"(32, 15, 1, 76)","(8, 13)"
"(64, 2, 1, 9)","(31, 2)"
"(17, 13, 1, 63)","(8, 13)"
"(34, 3, 1, 5)","(33, 2)"
"(69, 8, 1, 14)","(19, 8)"
"(32, 17, 1, 34)","(8, 15)"
"(52, 2, 1, 67)","(58, 2)"
"(32, 10, 1, 43)","(8, 8)"
"(27, 3, 1, 9)","(71, 3)"
"(67, 6, 1, 50)","(19, 6)"
"(15, 32, 1, 59)","(38, 32)"
"(52, 6, 1, 62)","(7, 18)"
"(8, 19, 1, 84)","(17, 19)"
"(38, 35, 1, 32)","(15, 35)"
"(17, 1, 1, 63)","(8, 1)"
"(32, 6, 1, 20)","(8, 4)"
"(43, 7, 1, 84)","(32, 7)"
"(32, 7, 1, 87)","(8, 5)"
"(17, 10, 1, 86)","(43, 12)"
"(32, 11, 1, 91)","(8, 9)"
"(69, 7, 1, 14)","(19, 7)"
"(34, 2, 1, 5)","(33, 3)"
"(32, 5, 1, 71)","(8, 19)"
"(33, 1, 1, 86)","(34, 1)"
"(27, 2, 1, 9)","(71, 2)"
"(61, 4, 1, 42)","(64, 3)"
